Name,Project,Arrangement,Organization,Theme,Year,Periodicity,Requested,Delivered,Established
(Particulier),Project Wan Denki 2017,Subsidieregeling bewonersinitiatieven Stadsdeel Zuidoost,stadsdeel Zuidoost,Welzijn en Zorg,2017,Eenmalig,€ 4.560,€ 2.315,€ 2.315
(Particulier),Buiksloterbanne Buurtfeest 2017,Subsidieregeling bewonersinitiatieven Stadsdeel Noord,stadsdeel Noord,Welzijn en Zorg,2017,Eenmalig,€ 1.000,€ 1.000,€ 1.000
(Particulier),"Inloop spreekuur, Mama's kookcafé","Basisvoorziening activering, participatie en sociale accommodaties (SD Oost)",stadsdeel Oost,Welzijn en Zorg,2017,Eenmalig,€ 4.850,€ 2.730,€ 2.730
(Particulier),kinderkookles workshops gezond koken en kinderrestaurant,"Basisvoorziening activering, participatie en sociale accommodaties (SD Oost)",stadsdeel Oost,Welzijn en Zorg,2017,Eenmalig,€ 4.806,€ 4.806,€ 4.806
(Particulier),vakantiepret schoolvakanties voor kinderen,"Basisvoorziening activering, participatie en sociale accommodaties (SD Oost)",stadsdeel Oost,Welzijn en Zorg,2017,Eenmalig,€ 6.060,€ 6.000,
(Particulier),"voettocht met 12 bewoners langs 12 plekken in Noord in haiku's en haiga's, expositie en magazine","Gebiedsgebonden Kunst en cultuuractiviteiten, eenmalige kunstinitiatieven Sd Noord",stadsdeel Noord,Cultuur,2017,Eenmalig,€ 8.000,€ 0,€ 0
(Particulier),BuurtLAB presenteert Kop Java Festival,"Gebiedsgebonden Kunst en cultuuractiviteiten, Kunst en Cultuur projecten en culturele festivals Sd O",stadsdeel Oost,Cultuur,2017,Eenmalig,€ 11.750,€ 0,€ 0
(Particulier),documentaire performance-reeks: 'Aan het einde van een nieuw begin',"Gebiedsgebonden Kunst en cultuuractiviteiten, Kunst en Cultuur projecten en culturele festivals Sd O",stadsdeel Oost,Cultuur,2017,Eenmalig,€ 6.600,€ 0,€ 0
(Particulier),Kinderkooklessen in Amsterdam-Noord,Subsidieregeling bewonersinitiatieven Stadsdeel Noord,stadsdeel Noord,Welzijn en Zorg,2017,Eenmalig,€ 3.300,€ 1.500,€ 1.500
(Particulier),Subsidie mannenpraatgroep N.A.,Subsidieregeling bewonersinitiatieven Stadsdeel Zuid,stadsdeel Zuid,Welzijn en Zorg,2017,Eenmalig,€ 1.820,€ 1.820,€ 1.820
(Particulier),Indiaas klassiek muziek concert,Subsidieregeling bewonersinitiatieven Stadsdeel Noord,stadsdeel Noord,Welzijn en Zorg,2017,Eenmalig,€ 3.260,€ 925,€ 925
(Particulier),Taalmaatjesproject Samenspraak Rivierenbuurt,Subsidieregeling bewonersinitiatieven Stadsdeel Zuid,stadsdeel Zuid,Welzijn en Zorg,2017,Eenmalig,€ 3.200,€ 3.088,€ 3.088
(Particulier),HERINNERINGSMONUMENT SAMENWERKING 1940-1945,Subsidieregeling Burgerschap en Diversiteit,"Onderwijs, Jeugd en Zorg",Participatie,2017,Eenmalig,€ 5.000,€ 0,€ 0
(Particulier),Filmproject Momo,"Gebiedsgebonden Kunst en cultuuractiviteiten, eenmalige initiatieven Sd Nieuw West",stadsdeel Nieuw-West,Cultuur,2017,Eenmalig,€ 4.978,€ 4.978,€ 4.978
(Particulier),Realisatie starterruimte Molenwijk,Subsidieregeling maatschappelijk initiatief stadsdeel Noord,stadsdeel Noord,Welzijn en Zorg,2017,Eenmalig,€ 5.000,€ 0,€ 0
(Particulier),Voor speelochtenden voor kinderen van 0-4 jaar,Basisvoorziening versterken pedagogische dragende samenleving en (talent)ontwikkeling bij jeugdigen,stadsdeel Zuid,Jeugd,2017,Periodiek,€ 5.320,€ 5.320,
(Particulier),Maandelijkse filmmiddag voor buurtbewoners voor een gezellige zondagmiddag en een praatje,Subsidieregeling bewonersinitiatieven Stadsdeel Zuid,stadsdeel Zuid,Welzijn en Zorg,2017,Eenmalig,€ 1.530,€ 1.530,€ 1.530
(Particulier),Project Batata Dushi in Gaasperdam,Subsidieregeling bewonersinitiatieven Stadsdeel Zuidoost,stadsdeel Zuidoost,Welzijn en Zorg,2017,Eenmalig,€ 4.824,€ 4.824,€ 4.824
(Particulier),"HenPower, Troetelkippen, Ouderen en Kunst In Watergraafsmeer (TOK)","Gebiedsgebonden Kunst en cultuuractiviteiten, Kunst en Cultuur projecten en culturele festivals Sd O",stadsdeel Oost,Cultuur,2017,Eenmalig,€ 9.680,€ 0,€ 0
(Particulier),IJFFF IJburg Foto Film Festival 2017,"Gebiedsgebonden Kunst en cultuuractiviteiten, Kunst en Cultuur projecten en culturele festivals Sd O",stadsdeel Oost,Cultuur,2017,Eenmalig,€ 15.000,€ 12.500,€ 0
(Particulier),beeldende kunst-sculpturen op 't Perron in Oost,"Gebiedsgebonden Kunst en cultuuractiviteiten, Kunst en Cultuur projecten en culturele festivals Sd O",stadsdeel Oost,Cultuur,2017,Eenmalig,€ 1.400,€ 0,€ 0
(Particulier),Gratis concerten voor de wijk,"Gebiedsgebonden Kunst en cultuuractiviteiten, Kunst en Cultuur projecten en culturele festivals Sd O",stadsdeel Oost,Cultuur,2017,Eenmalig,€ 1.955,€ 0,€ 0
